m,0.876009059,116.145,0.0355
m,0.876009059,114.279,0.0355
m,0.876016421,115,0.0354
m,0.876016421,113.668,0.0354
m,0.876016421,114.407,0.0354
m,0.876016421,114.075,0.0354
m,0.876023794,114.974,0.0353
m,0.876023794,113.805,0.0353
m,0.876023794,114.321,0.0353
m,0.876031178,113.453,0.0352
m,0.876144991,110.849,0.0352
m,0.876152386,113.453,0.0351
m,0.876045981,109.904,0.035
m,0.876169261,110.248,0.0349
m,0.876169261,110.856,0.0349
m,0.876178798,111.147,0.0348
m,0.876178798,113.355,0.0348
m,0.876186239,112.592,0.0347
m,0.876188419,112.686,0.0347
m,0.87619587,111.699,0.0346
m,0.876311831,111.835,0.0346
m,0.876203333,112.483,0.0345
m,0.876319293,113.03,0.0345
m,0.876319293,112.803,0.0345
m,0.876213044,113.613,0.0344
m,0.876213044,113.152,0.0344
m,0.876329044,113.934,0.0344
m,0.876220529,113.243,0.0343
m,0.876213044,114.202,0.0344
m,0.876222838,113.833,0.0343
m,0.876222838,113.512,0.0343
m,0.876222838,113.046,0.0343
m,0.876222838,113.355,0.0343
m,0.876106824,112.914,0.0343
m,0.875993125,111.852,0.0343
m,0.875993125,112.362,0.0343
m,0.875993125,113.373,0.0343
m,0.875877122,113.366,0.0343
m,0.875877122,113.69,0.0343
m,0.87576115,113.8,0.0343
m,0.875652695,112.803,0.0342
m,0.875536765,113.459,0.0342
m,0.875529263,112.934,0.0343
m,0.875413358,114.086,0.0343
m,0.875411268,113.714,0.0343
m,0.875411268,114.976,0.0343
m,0.87540923,114.255,0.0343
m,0.87540923,115.062,0.0343
m,0.875293423,117.216,0.0343
m,0.875399772,114.911,0.0344
m,0.875399772,114.035,0.0344
m,0.875399772,113.411,0.0344
m,0.875399772,114.182,0.0344
m,0.875508085,113.475,0.0345
m,0.875392291,111.839,0.0345
m,0.875392291,111.456,0.0345
m,0.875508085,113.386,0.0345
m,0.875508085,112.375,0.0345
m,0.875386787,111.976,0.0346
m,0.875386787,114.092,0.0346
m,0.875386787,111.016,0.0346
m,0.875379328,112.242,0.0347
m,0.875265514,112.808,0.0347
m,0.875265514,113.406,0.0347
m,0.875381366,112.706,0.0347
m,0.875379328,115.692,0.0347
m,0.875379328,115.587,0.0347
m,0.875379328,115.847,0.0347
m,0.875379328,115.084,0.0347
m,0.875379328,124.76,0.0347
m,0.875379328,113.399,0.0347
m,0.875379328,113.069,0.0347
m,0.875379328,113.713,0.0347
